participant_id,occupation_id,occupation,date,weekday,floor,ward,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24
1,N1,N,2021-07-25,0,10,,0,0,0,0,0,0,5,1,1,5,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0
2,N2,N,2021-07-25,0,10,,0,0,0,0,0,0,5,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0
3,N3,N,2021-07-25,0,8,,0,0,0,0,0,0,1,1,5,1,5,1,5,1,5,0,0,0,0,0,0,0,0,0,0
4,N4,N,2021-07-25,0,8,,0,0,0,0,0,0,1,1,5,1,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0
5,N5,N,2021-07-25,0,7,,0,0,0,0,0,5,1,1,1,5,1,5,1,5,5,0,0,0,0,0,0,0,0,0,0
6,D1,D,2021-07-25,0,8,,0,0,0,0,0,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Wc1,Wc,2021-07-25,0,10,,0,0,0,0,0,6,1,1,1,6,1,1,6,1,1,1,1,0,0,0,0,0,0,0,0
8,Wc2,Wc,2021-07-25,0,7,,0,0,0,0,0,0,6,1,1,8,1,9,8,1,5,1,1,1,1,1,1,0,0,0,0
9,P1,P,2021-07-25,0,7,7111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,P2,P,2021-07-25,0,7,7111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,P3,P,2021-07-25,0,7,7109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1
12,P4,P,2021-07-25,0,7,7105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,P5,P,2021-07-25,0,7,7105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,P6,P,2021-07-25,0,7,7103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,P7,P,2021-07-25,0,7,7102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,P8,P,2021-07-25,0,7,7106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,P9,P,2021-07-25,0,7,7106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
